"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
84,"1_BEF_T15_4_22",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
85,"1_BEF_S10_4_23",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
86,"1_BEF_T11_5_1",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
87,"1_BEF_J10_5_2",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
88,"1_BEF_S1_5_3",2008,195,"1_BEF",39.059479,-78.059835,185,88,2065.70531691328,917.085613605401,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
89,"1_BEF_S12_5_4",2008,187,"1_BEF",39.059479,-78.059835,185,80,2065.70531691328,792.720319410928,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
90,"1_BEF_J22_5_5",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
91,"1_BEF_J26_5_6",2008,180,"1_BEF",39.059479,-78.059835,185,73,2065.70531691328,695.796921922484,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
92,"1_BEF_C14_5_7",2008,173,"1_BEF",39.059479,-78.059835,185,66,2065.70531691328,595.425518781998,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
93,"1_BEF_E18_5_8",2008,164,"1_BEF",39.059479,-78.059835,185,57,2065.70531691328,483.808123963962,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
94,"1_BEF_A6_5_9",2008,174,"1_BEF",39.059479,-78.059835,185,67,2065.70531691328,609.184739543773,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
95,"1_BEF_S22_5_10",2008,195,"1_BEF",39.059479,-78.059835,185,88,2065.70531691328,917.085613605401,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
96,"1_BEF_S13_5_11",2008,198,"1_BEF",39.059479,-78.059835,185,91,2065.70531691328,961.317703701613,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
97,"1_BEF_J11_5_12",2008,181,"1_BEF",39.059479,-78.059835,185,74,2065.70531691328,712.460020170904,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
98,"1_BEF_E13_5_13",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
99,"1_BEF_E16_5_14",2008,166,"1_BEF",39.059479,-78.059835,185,59,2065.70531691328,515.260316759144,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
100,"1_BEF_E16_5_15",2008,171,"1_BEF",39.059479,-78.059835,185,64,2065.70531691328,573.704513279014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
101,"1_BEF_S6_5_16",2008,187,"1_BEF",39.059479,-78.059835,185,80,2065.70531691328,792.720319410928,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
102,"1_BEF_S20_5_17",2008,187,"1_BEF",39.059479,-78.059835,185,80,2065.70531691328,792.720319410928,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
103,"1_BEF_J15_5_18",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
104,"1_BEF_A22_5_19",2008,171,"1_BEF",39.059479,-78.059835,185,64,2065.70531691328,573.704513279014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
105,"1_BEF_S20_5_20",2008,195,"1_BEF",39.059479,-78.059835,185,88,2065.70531691328,917.085613605401,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
106,"1_BEF_J17_5_21",2008,181,"1_BEF",39.059479,-78.059835,185,74,2065.70531691328,712.460020170904,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
107,"1_BEF_S9_5_22",2008,198,"1_BEF",39.059479,-78.059835,185,91,2065.70531691328,961.317703701613,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
108,"1_BEF_J10_6_1",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
109,"1_BEF_A22_6_2",2008,179,"1_BEF",39.059479,-78.059835,185,72,2065.70531691328,678.690420659784,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
110,"1_BEF_T1_6_3",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
111,"1_BEF_J21_6_4",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
112,"1_BEF_J18_6_5",2008,187,"1_BEF",39.059479,-78.059835,185,80,2065.70531691328,792.720319410928,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
113,"1_BEF_T14_6_6",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
114,"1_BEF_C29_6_7",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
115,"1_BEF_A20_6_8",2008,176,"1_BEF",39.059479,-78.059835,185,69,2065.70531691328,634.551260788014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
116,"1_BEF_T10_6_9",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
117,"1_BEF_E25_6_10",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
118,"1_BEF_E18_6_11",2008,166,"1_BEF",39.059479,-78.059835,185,59,2065.70531691328,515.260316759144,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
119,"1_BEF_J25_6_12",2008,187,"1_BEF",39.059479,-78.059835,185,80,2065.70531691328,792.720319410928,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
120,"1_BEF_S4_6_13",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
121,"1_BEF_A2_6_14",2008,164,"1_BEF",39.059479,-78.059835,185,57,2065.70531691328,483.808123963962,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
122,"1_BEF_T2_6_15",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
123,"1_BEF_T2_6_16",2008,195,"1_BEF",39.059479,-78.059835,185,88,2065.70531691328,917.085613605401,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
124,"1_BEF_E3_6_17",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
125,"1_BEF_C28_6_18",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
126,"1_BEF_J3_6_19",2008,187,"1_BEF",39.059479,-78.059835,185,80,2065.70531691328,792.720319410928,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
127,"1_BEF_J9_6_20",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
128,"1_BEF_C29_6_21",2008,173,"1_BEF",39.059479,-78.059835,185,66,2065.70531691328,595.425518781998,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
129,"1_BEF_A16_6_22",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
130,"2_KSR_T9_1_1",2008,215,"2_KSR",44.027957,-79.541863,170,109,1420.21662623863,884.787677402811,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
131,"2_KSR_C14_1_2",2008,192,"2_KSR",44.027957,-79.541863,170,86,1420.21662623863,589.730454889827,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
132,"2_KSR_J15_1_3",2008,205,"2_KSR",44.027957,-79.541863,170,99,1420.21662623863,759.245609381265,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
133,"2_KSR_S22_1_4",2008,238,"2_KSR",44.027957,-79.541863,170,132,1420.21662623863,1127.59881230501,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
134,"2_KSR_T3_1_5",2008,220,"2_KSR",44.027957,-79.541863,170,114,1420.21662623863,946.817121674049,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
135,"2_KSR_S9_1_6",2008,216,"2_KSR",44.027957,-79.541863,170,110,1420.21662623863,896.518488495481,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
136,"2_KSR_J22_1_7",2008,207,"2_KSR",44.027957,-79.541863,170,101,1420.21662623863,783.548636650335,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
137,"2_KSR_A22_1_8",2008,195,"2_KSR",44.027957,-79.541863,170,89,1420.21662623863,628.203151102403,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
138,"2_KSR_J26_1_9",2008,203,"2_KSR",44.027957,-79.541863,170,97,1420.21662623863,735.815366891367,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
139,"2_KSR_T11_1_10",2008,207,"2_KSR",44.027957,-79.541863,170,101,1420.21662623863,783.548636650335,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
140,"2_KSR_C27_1_11",2008,195,"2_KSR",44.027957,-79.541863,170,89,1420.21662623863,628.203151102403,8.60737349235536,17.7119371220815,-0.171488769834749,-0.72974278568637,11
